         3006626 function calls (2810665 primitive calls) in 18.466 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       44    0.000    0.000    0.001    0.000 core.py:138(get_object_signature)
        1    0.000    0.000    0.000    0.000 umath.py:7(<module>)
       45    0.000    0.000    0.001    0.000 re.py:184(sub)
        1    0.000    0.000    0.000    0.000 widgets.py:2559(PolygonSelector)
        1    0.000    0.000    0.022    0.022 index_tricks.py:1(<module>)
        1    0.000    0.000    0.098    0.098 _base.py:13(<module>)
       50    0.000    0.000    0.000    0.000 shape_base.py:219(_vhstack_dispatcher)
        1    0.000    0.000    0.008    0.008 shutil.py:5(<module>)
        1    0.000    0.000    0.206    0.206 figure.py:12(<module>)
        1    0.000    0.000    0.003    0.003 colors.py:60(<module>)
       23    0.000    0.000    0.000    0.000 deprecation.py:226(finalize)
       24    0.000    0.000    0.000    0.000 dviread.py:154(decorate)
        1    0.000    0.000    0.000    0.000 _mathtext_data.py:1751(<dictcomp>)
       12    0.000    0.000    0.000    0.000 posixpath.py:154(dirname)
        1    0.000    0.000    0.012    0.012 numpy_pickle.py:1(<module>)
        1    0.000    0.000    0.007    0.007 font_manager.py:14(<module>)
        1    0.000    0.000    0.003    0.003 nanfunctions.py:22(<module>)
       37    0.000    0.000    0.000    0.000 codecs.py:308(__init__)
       66    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
       21    0.000    0.000    0.000    0.000 pyparsing.py:3209(__str__)
        1    0.000    0.000    0.040    0.040 platform.py:10(<module>)
       20    0.000    0.000    0.000    0.000 sre_compile.py:393(_generate_overlap_table)
       33    0.000    0.000    0.000    0.000 warnings.py:428(__init__)
        1    0.000    0.000    0.000    0.000 process.py:10(<module>)
       12    0.000    0.000    0.001    0.000 deprecation.py:325(_delete_parameter)
       60    0.000    0.000    0.008    0.000 <__array_function__ internals>:2(linspace)
        1    0.000    0.000    0.000    0.000 backend_qt5.py:217(FigureCanvasQT)
       51    0.000    0.000    0.001    0.000 genericpath.py:16(exists)
       45    0.000    0.000    0.000    0.000 pyparsing.py:1446(setName)
       21    0.000    0.000    0.000    0.000 enum.py:135(<dictcomp>)
        1    0.000    0.000    0.013    0.013 image.py:4(<module>)
        1    0.000    0.000    0.004    0.004 __init__.py:24(<module>)
        1    0.000    0.000    0.232    0.232 colorbar.py:20(<module>)
        1    0.000    0.000    0.002    0.002 twodim_base.py:3(<module>)
       60    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
       71    0.000    0.000    0.000    0.000 _weakrefset.py:81(add)
        1    0.000    0.000    0.000    0.000 _base.py:56(_Waiter)
       17    0.000    0.000    0.000    0.000 cycler.py:55(_process_keys)
       96    0.000    0.000    0.000    0.000 traceback.py:290(walk_stack)
        7    0.000    0.000    0.000    0.000 weakref.py:354(__init__)
        1    0.000    0.000    0.514    0.514 __init__.py:91(<module>)
        1    0.000    0.000    0.001    0.001 figure.py:245(Figure)
        1    0.000    0.000    0.003    0.003 pyparsing.py:5789(_makeTags)
      252    0.000    0.000    0.000    0.000 multiarray.py:468(can_cast)
        9    0.000    0.000    0.001    0.000 enum.py:767(_create_pseudo_member_)
      160    0.000    0.000    0.000    0.000 cycler.py:227(<genexpr>)
       20    0.000    0.000    0.000    0.000 pyparsing.py:1854(resetCache)
       53    0.000    0.000    0.007    0.000 inspect.py:2811(from_callable)
        4    0.000    0.000    0.000    0.000 {built-in method posix.open}
       20    0.000    0.000    0.004    0.000 pyparsing.py:4669(parseImpl)
        3    0.000    0.000    0.000    0.000 {built-in method posix.mkdir}
      138    0.000    0.000    0.000    0.000 pyparsing.py:2436(setWhitespaceChars)
        1    0.000    0.000    0.004    0.004 fontconfig_pattern.py:65(__init__)
        1    0.000    0.000    0.001    0.001 dviread.py:172(Dvi)
      231    0.000    0.000    0.000    0.000 {built-in method _sre.getlower}
        2    0.000    0.000    0.002    0.001 utils.py:1(<module>)
       20    0.000    0.000    0.003    0.000 pyparsing.py:4830(parseImpl)
        1    0.000    0.000    0.010    0.010 _parser.py:30(<module>)
       88    0.000    0.000    0.000    0.000 six.py:141(__init__)
        1    0.000    0.000    0.000    0.000 opcode.py:37(<listcomp>)
       90    0.000    0.000    0.000    0.000 _inspect.py:131(strseq)
        1    0.000    0.000    0.000    0.000 _mathtext_data.py:3(<module>)
      282    0.000    0.000    0.000    0.000 pyparsing.py:3128(<genexpr>)
       82    0.000    0.000    0.000    0.000 inspect.py:81(ismethod)
       72    0.000    0.000    0.001    0.000 linecache.py:37(getlines)
        1    0.000    0.000    0.004    0.004 signal.py:1(<module>)
       50    0.000    0.000    0.000    0.000 kmc_classes.py:36(set_medium)
       29    0.000    0.000    0.001    0.000 posixpath.py:376(abspath)
       53    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
       69    0.000    0.000    0.000    0.000 {method 'getrandbits' of '_random.Random' objects}
       42    0.000    0.000    0.001    0.000 pyparsing.py:1313(wrapper)
       50    0.000    0.000    0.000    0.000 shape_base.py:208(_arrays_for_stack_dispatcher)
       89    0.000    0.000    0.000    0.000 enum.py:874(_power_of_two)
       91    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        7    0.000    0.000    0.004    0.001 _pylab_helpers.py:66(destroy_all)
      533    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
        1    0.000    0.000    0.001    0.001 pydoc.py:40(<module>)
        1    0.000    0.000    0.005    0.005 axes3d.py:11(<module>)
        1    0.000    0.000    0.001    0.001 axis.py:34(Tick)
       34    0.000    0.000    0.000    0.000 __init__.py:219(_acquireLock)
       60    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(any)
       50    0.000    0.000    0.000    0.000 codecs.py:185(__init__)
        1    0.000    0.000    0.018    0.018 axis.py:3(<module>)
        1    0.000    0.000    0.101    0.101 contour.py:3(<module>)
        1    0.000    0.000    0.002    0.002 ticker.py:165(<module>)
        1    0.000    0.000    0.012    0.012 case.py:1(<module>)
        1    0.000    0.000    0.001    0.001 pickle.py:181(<listcomp>)
       43    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:99(_path_isdir)
        1    0.000    0.000    0.001    0.001 backend_qt5.py:678(NavigationToolbar2QT)
       72    0.000    0.000    0.000    0.000 linecache.py:147(lazycache)
       14    0.000    0.000    0.000    0.000 copyreg.py:96(_slotnames)
        2    0.000    0.000    0.000    0.000 {function Random.seed at 0x7f7cd36232f0}
        1    0.000    0.000    0.000    0.000 colors.py:72(__init__)
       42    0.000    0.000    0.001    0.000 shutil.py:1112(_access_check)
        1    0.000    0.000    0.259    0.259 _parallel_backends.py:3(<module>)
        1    0.000    0.000    0.011    0.011 hashing.py:4(<module>)
       47    0.000    0.000    0.000    0.000 pyparsing.py:2880(parseImpl)
     23/7    0.000    0.000    0.001    0.000 pyparsing.py:4468(streamline)
        1    0.000    0.000    0.000    0.000 {built-in method marshal.dumps}
       46    0.000    0.000    0.000    0.000 docstring.py:43(update)
       18    0.000    0.000    0.002    0.000 pyparsing.py:4762(parseImpl)
       28    0.000    0.000    0.000    0.000 rcsetup.py:46(__init__)
       60    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(ndim)
        1    0.000    0.000    0.000    0.000 datetime.py:1381(datetime)
        1    0.000    0.000    0.004    0.004 pickle.py:24(<module>)
        6    0.000    0.000    0.001    0.000 patches.py:1853(_pprint_table)
       17    0.000    0.000    0.000    0.000 cycler.py:112(__init__)
       11    0.000    0.000    0.009    0.001 pyparsing.py:1895(parseString)
        1    0.000    0.000    0.009    0.009 pathlib.py:1(<module>)
        1    0.000    0.000    0.004    0.004 parse.py:28(<module>)
       10    0.000    0.000    0.000    0.000 {built-in method posix.pipe}
      144    0.000    0.000    0.000    0.000 pyparsing.py:2583(__hash__)
      224    0.000    0.000    0.000    0.000 patches.py:1864(<genexpr>)
       15    0.000    0.000    0.000    0.000 rcsetup.py:960(validate_animation_writer_path)
        1    0.000    0.000    0.002    0.002 arraysetops.py:27(<module>)
        1    0.000    0.000    0.012    0.012 platform.py:946(uname)
      180    0.000    0.000    0.000    0.000 enum.py:594(name)
      364    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       48    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      113    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
        1    0.000    0.000    0.000    0.000 legend.py:321(Legend)
        1    0.000    0.000    0.099    0.099 collections.py:10(<module>)
       86    0.000    0.000    0.000    0.000 rcsetup.py:215(validate_int)
        1    0.000    0.000    0.001    0.001 reduction.py:10(<module>)
        1    0.000    0.000    0.017    0.017 _store_backends.py:1(<module>)
        2    0.000    0.000    3.054    1.527 animation.py:612(isAvailable)
        1    0.000    0.000    0.000    0.000 axes3d.py:42(Axes3D)
        1    0.000    0.000    0.002    0.002 texmanager.py:29(<module>)
       98    0.000    0.000    0.000    0.000 pyparsing.py:2537(streamline)
       72    0.000    0.000    0.000    0.000 traceback.py:243(__init__)
        1    0.000    0.000    0.001    0.001 pkgutil.py:500(extend_path)
        1    0.000    0.000    0.000    0.000 queues.py:10(<module>)
        1    0.000    0.000    0.001    0.001 _memmapping_reducer.py:3(<module>)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:861(_find_spec_legacy)
        2    0.000    0.000    0.040    0.020 __init__.py:15(<module>)
        7    0.000    0.000    0.000    0.000 _parser.py:315(_convert)
        1    0.000    0.000    0.021    0.021 _base.py:1(<module>)
      145    0.000    0.000    0.000    0.000 inspect.py:64(ismodule)
       73    0.000    0.000    0.000    0.000 signal.py:10(<lambda>)
        6    0.000    0.000    0.054    0.009 animation.py:422(isAvailable)
        1    0.000    0.000    0.052    0.052 reduction.py:11(<module>)
        1    0.000    0.000    0.015    0.015 category.py:12(<module>)
        1    0.000    0.000    0.022    0.022 artist.py:1(<module>)
       17    0.000    0.000    0.001    0.000 cycler.py:529(_cycler)
       16    0.000    0.000    0.001    0.000 pyparsing.py:2278(__or__)
       16    0.000    0.000    0.000    0.000 pyparsing.py:3181(parseImpl)
      158    0.000    0.000    0.000    0.000 pyparsing.py:4009(<genexpr>)
        1    0.000    0.000    0.050    0.050 _internal.py:6(<module>)
      186    0.000    0.000    0.000    0.000 {method 'ljust' of 'str' objects}
        1    0.000    0.000    0.003    0.003 queues.py:12(<module>)
        1    0.000    0.000    0.001    0.001 connection.py:10(<module>)
        1    0.000    0.000    0.000    0.000 _base.py:410(_AxesBase)
        1    0.000    0.000    0.000    0.000 _cm.py:7(<module>)
        1    0.000    0.000    0.000    0.000 path.py:21(Path)
      138    0.000    0.000    0.000    0.000 cycler.py:212(<genexpr>)
       25    0.000    0.000    0.001    0.000 pyparsing.py:4824(__init__)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:114(_add_aliases)
       38    0.000    0.000    0.000    0.000 colors.py:825(__init__)
      142    0.000    0.000    0.000    0.000 textwrap.py:476(predicate)
       53    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
      184    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:5(<module>)
       19    0.000    0.000    0.000    0.000 path.py:188(_update_values)
    34/26    0.000    0.000    0.001    0.000 pyparsing.py:4069(__str__)
       10    0.000    0.000    0.010    0.001 pyparsing.py:5103(__init__)
       16    0.000    0.000    0.000    0.000 pyparsing.py:852(__iadd__)
       30    0.000    0.000    0.000    0.000 getlimits.py:25(_fr1)
        1    0.000    0.000    0.001    0.001 _methods.py:5(<module>)
       35    0.000    0.000    0.000    0.000 __init__.py:685(__init__)
        1    0.000    0.000    0.006    0.006 financial.py:12(<module>)
        1    0.000    0.000    0.088    0.088 qt_compat.py:12(<module>)
       95    0.000    0.000    0.000    0.000 cycler.py:138(keys)
        1    0.000    0.000    0.825    0.825 morphology.py:1(<module>)
       43    0.000    0.000    0.000    0.000 posixpath.py:52(normcase)
        8    0.000    0.000    0.000    0.000 animation.py:413(bin_path)
       16    0.000    0.000    0.001    0.000 pyparsing.py:4219(__init__)
      140    0.000    0.000    0.000    0.000 rcsetup.py:416(validate_string)
        1    0.000    0.000    0.020    0.020 __init__.py:124(<module>)
        1    0.000    0.000    0.007    0.007 secrets.py:7(<module>)
        1    0.000    0.000    0.023    0.023 subprocess.py:42(<module>)
       31    0.000    0.000    0.000    0.000 contextlib.py:157(helper)
       20    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:728(create_module)
       20    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
        1    0.000    0.000    0.001    0.001 backend_tools.py:12(<module>)
        6    0.000    0.000    0.000    0.000 deprecation.py:354(<listcomp>)
        1    0.000    0.000    0.007    0.007 dviread.py:18(<module>)
        1    0.000    0.000    0.008    0.008 traceback.py:1(<module>)
        1    0.000    0.000    0.001    0.001 synchronize.py:11(<module>)
        1    0.000    0.000    0.000    0.000 cloudpickle.py:468(CloudPickler)
        1    0.000    0.000    0.005    0.005 func_inspect.py:3(<module>)
        6    0.000    0.000    0.000    0.000 patches.py:1864(<listcomp>)
        1    0.000    0.000    0.001    0.001 pyplot.py:1760(get_plot_commands)
       25    0.000    0.000    0.000    0.000 rcsetup.py:316(<listcomp>)
        1    0.000    0.000    0.001    0.001 getlimits.py:3(<module>)
       23    0.000    0.000    0.000    0.000 pathlib.py:631(_parse_args)
       19    0.000    0.000    0.000    0.000 sre_parse.py:266(getuntil)
       19    0.000    0.000    0.000    0.000 functools.py:479(decorating_function)
       50    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISREG}
        1    0.000    0.000    0.000    0.000 _posix_reduction.py:9(<module>)
        1    0.000    0.000    0.001    0.001 cm.py:100(<dictcomp>)
       89    0.000    0.000    0.000    0.000 docstring.py:101(do_copy)
       30    0.000    0.000    0.006    0.000 rcsetup.py:477(validate_font_properties)
        1    0.000    0.000    0.000    0.000 pickle.py:986(_Unpickler)
        1    0.000    0.000    0.015    0.015 context.py:1(<module>)
        1    0.000    0.000    0.000    0.000 axis.py:679(Axis)
        1    0.000    0.000    0.001    0.001 quiver.py:15(<module>)
        1    0.000    0.000    0.001    0.001 text.py:1954(Annotation)
        1    0.000    0.000    0.001    0.001 markers.py:165(MarkerStyle)
       32    0.000    0.000    0.001    0.000 rcsetup.py:876(<genexpr>)
      301    0.000    0.000    0.000    0.000 __init__.py:848(__iter__)
        1    0.000    0.000    0.001    0.001 argparse.py:62(<module>)
        1    0.000    0.000    0.024    0.024 __init__.py:45(<module>)
       75    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
        1    0.000    0.000    0.001    0.001 widgets.py:10(<module>)
        1    0.000    0.000    0.003    0.003 ast.py:26(<module>)
        1    0.000    0.000    0.003    0.003 mlab.py:54(<module>)
      204    0.000    0.000    0.000    0.000 patches.py:1857(<genexpr>)
       12    0.000    0.000    0.000    0.000 pyparsing.py:5656(<lambda>)
       30    0.000    0.000    0.000    0.000 getlimits.py:17(_fr0)
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:908(__init__)
        1    0.000    0.000    0.001    0.001 legendre.py:81(<module>)
       15    0.000    0.000    0.001    0.000 arrayprint.py:461(wrapper)
       12    0.000    0.000    0.000    0.000 warnings.py:159(_add_filter)
       49    0.000    0.000    0.000    0.000 pyparsing.py:593(__getitem__)
        1    0.000    0.000    0.001    0.001 opcode.py:5(<module>)
        1    0.000    0.000    0.005    0.005 polynomial.py:74(<module>)
        1    0.000    0.000    0.022    0.022 textpath.py:1(<module>)
        5    0.000    0.000    0.001    0.000 textwrap.py:414(dedent)
       34    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
        1    0.000    0.000    0.001    0.001 texmanager.py:49(TexManager)
        1    0.000    0.000    0.000    0.000 patches.py:20(Patch)
       27    0.000    0.000    0.001    0.000 pyparsing.py:5081(__init__)
        1    0.000    0.000    0.051    0.051 __init__.py:316(impl)
        8    0.000    0.000    0.000    0.000 parse.py:361(urlparse)
        1    0.000    0.000    0.000    0.000 compressor.py:84(CompressorWrapper)
        8    0.000    0.000    3.107    0.388 animation.py:118(wrapper)
        1    0.000    0.000    0.000    0.000 pyplot.py:2059(<listcomp>)
        1    0.000    0.000    0.000    0.000 tempfile.py:285(rng)
        2    0.000    0.000    0.000    0.000 core.py:2975(__array_finalize__)
        7    0.000    0.000    0.000    0.000 getlimits.py:498(__init__)
        1    0.000    0.000    0.000    0.000 thread.py:4(<module>)
       17    0.000    0.000    0.001    0.000 cycler.py:468(cycler)
       26    0.000    0.000    0.001    0.000 core.py:922(__init__)
        1    0.000    0.000    0.001    0.001 einsumfunc.py:4(<module>)
       28    0.000    0.000    0.000    0.000 posixpath.py:232(expanduser)
        1    0.000    0.000    0.008    0.008 table.py:20(<module>)
        1    0.000    0.000    0.000    0.000 _subplots.py:202(subplot_class_factory)
        1    0.000    0.000    0.001    0.001 encoder.py:2(<module>)
        1    0.000    0.000    0.000    0.000 chebyshev.py:109(<module>)
       36    0.000    0.000    0.000    0.000 subprocess.py:1284(<genexpr>)
        1    0.000    0.000    0.012    0.012 platform.py:803(_syscmd_uname)
       60    0.000    0.000    0.001    0.000 _methods.py:53(_any)
        1    0.000    0.000    0.000    0.000 numerictypes.py:412(_construct_lookups)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:78(bitname)
        1    0.000    0.000    0.060    0.060 fontconfig_pattern.py:6(<module>)
        1    0.000    0.000    0.002    0.002 patches.py:3151(ArrowStyle)
       43    0.000    0.000    0.000    0.000 os.py:794(fsencode)
       44    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        2    0.000    0.000    0.000    0.000 __init__.py:17(_get_running_interactive_framework)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1549(FigureCanvasBase)
       19    0.000    0.000    0.000    0.000 cycler.py:225(__iter__)
      198    0.000    0.000    0.000    0.000 rcsetup.py:51(func)
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
        1    0.000    0.000    0.000    0.000 token.py:74(<dictcomp>)
        9    0.000    0.000    0.006    0.001 fontconfig_pattern.py:113(parse)
        1    0.000    0.000    0.002    0.002 loader.py:1(<module>)
        1    0.000    0.000    0.028    0.028 pool.py:11(<module>)
        1    0.000    0.000    0.000    0.000 pydoc.py:1674(Helper)
        1    0.000    0.000    0.002    0.002 art3d.py:8(<module>)
        1    0.000    0.000    0.044    0.044 core.py:12(<module>)
        1    0.000    0.000    0.001    0.001 transforms.py:30(<module>)
       14    0.000    0.000    0.000    0.000 pyparsing.py:4489(__str__)
       18    0.000    0.000    0.000    0.000 deprecation.py:193(finalize)
       69    0.000    0.000    0.000    0.000 enum.py:822(_high_bit)
       13    0.000    0.000    0.002    0.000 abc.py:151(register)
       54    0.000    0.000    0.000    0.000 inspect.py:505(_is_wrapper)
        1    0.000    0.000    0.005    0.005 hmac.py:4(<module>)
       15    0.000    0.000    0.001    0.000 arrayprint.py:1473(_array_str_implementation)
     10/8    0.000    0.000    0.146    0.018 __init__.py:108(import_module)
       11    0.000    0.000    0.000    0.000 pyparsing.py:5437(_escapeRegexRangeChars)
        1    0.000    0.000    0.001    0.001 ctypeslib.py:51(<module>)
       60    0.000    0.000    0.000    0.000 numeric.py:1816(isscalar)
      214    0.000    0.000    0.000    0.000 {built-in method builtins.id}
        4    0.000    0.000    0.000    0.000 uuid.py:106(__init__)
        1    0.000    0.000    0.000    0.000 _polybase.py:17(ABCPolyBase)
        1    0.000    0.000    0.001    0.001 lzma.py:9(<module>)
       13    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
        1    0.000    0.000    0.013    0.013 process.py:44(<module>)
        1    0.000    0.000    0.000    0.000 _parallel_backends.py:30(ParallelBackendBase)
        1    0.000    0.000    0.000    0.000 Image.py:506(Image)
       56    0.000    0.000    0.000    0.000 patches.py:1961(_register_style)
       44    0.000    0.000    0.000    0.000 pyparsing.py:4266(<genexpr>)
        5    0.000    0.000    0.000    0.000 rcsetup.py:514(validate_whiskers)
        1    0.000    0.000    0.000    0.000 pprint.py:98(PrettyPrinter)
       26    0.000    0.000    0.001    0.000 core.py:6750(__init__)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:100(dtype_from_ctypes_type)
       78    0.000    0.000    0.000    0.000 _internal.py:792(<genexpr>)
        1    0.000    0.000    0.000    0.000 pathlib.py:107(_WindowsFlavour)
       60    0.000    0.000    0.000    0.000 enum.py:181(<genexpr>)
      127    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
        6    0.000    0.000    0.000    0.000 {built-in method posix.access}
        1    0.000    0.000    0.001    0.001 compressor.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _formlayout.py:33(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:6(<module>)
        1    0.000    0.000    0.000    0.000 hermite.py:77(<module>)
        1    0.000    0.000    0.001    0.001 bezier.py:3(<module>)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:65(_bits_of)
       19    0.000    0.000    0.000    0.000 pathlib.py:998(__new__)
       53    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
        1    0.000    0.000    0.000    0.000 os.py:44(<listcomp>)
        1    0.000    0.000    0.000    0.000 util.py:10(<module>)
       34    0.000    0.000    0.000    0.000 __init__.py:228(_releaseLock)
        4    0.000    0.000    0.001    0.000 core.py:115(doc_note)
        1    0.000    0.000    0.019    0.019 _pickle.py:1(<module>)
       36    0.000    0.000    0.000    0.000 _add_newdocs.py:6715(<genexpr>)
       59    0.000    0.000    0.000    0.000 _inspect.py:144(<lambda>)
        4    0.000    0.000    0.002    0.000 warnings.py:119(filterwarnings)
        1    0.000    0.000    0.107    0.107 figureoptions.py:6(<module>)
        1    0.000    0.000    0.001    0.001 scale.py:759(_get_scale_docs)
        1    0.000    0.000    0.000    0.000 triinterpolate.py:1174(_DOF_estimator_min_E)
     20/6    0.000    0.000    0.002    0.000 pyparsing.py:4443(parseImpl)
        1    0.000    0.000    0.001    0.001 ntpath.py:6(<module>)
        1    0.000    0.000    0.000    0.000 proj3d.py:3(<module>)
       72    0.000    0.000    0.000    0.000 pyparsing.py:1771(get)
      9/3    0.000    0.000    0.001    0.000 pyparsing.py:4226(streamline)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:153(_add_integer_aliases)
        1    0.000    0.000    0.040    0.040 overrides.py:1(<module>)
       21    0.000    0.000    0.000    0.000 enum.py:312(__getattr__)
        2    0.000    0.000    0.001    0.001 util.py:1(<module>)
        3    0.000    0.000    0.000    0.000 backend_bases.py:3313(export)
        1    0.000    0.000    0.003    0.003 font_manager.py:916(json_load)
        1    0.000    0.000    0.001    0.001 markers.py:146(<module>)
        1    0.000    0.000    0.001    0.001 linecache.py:82(updatecache)
       30    0.000    0.000    0.000    0.000 getlimits.py:40(<lambda>)
        1    0.000    0.000    0.000    0.000 <string>:5(usage)
        4    0.000    0.000    0.000    0.000 re.py:249(escape)
       37    0.000    0.000    0.000    0.000 codecs.py:259(__init__)
        1    0.000    0.000    0.001    0.001 offsetbox.py:15(<module>)
        1    0.000    0.000    0.001    0.001 patches.py:1969(BoxStyle)
       16    0.000    0.000    0.000    0.000 pyparsing.py:4261(__str__)
        1    0.000    0.000    0.006    0.006 __init__.py:186(_check_versions)
        1    0.000    0.000    0.001    0.001 difflib.py:27(<module>)
        1    0.000    0.000    0.000    0.000 records.py:35(<module>)
      105    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
        1    0.000    0.000    0.010    0.010 reusable_executor.py:6(<module>)
        1    0.000    0.000    0.002    0.002 _base.py:4(<module>)
        1    0.000    0.000    0.002    0.002 logger.py:5(<module>)
       60    0.000    0.000    0.000    0.000 fromnumeric.py:3075(ndim)
        1    0.000    0.000    0.009    0.009 _datasource.py:36(<module>)
      100    0.000    0.000    0.000    0.000 sre_compile.py:102(fixup)
        1    0.000    0.000    0.019    0.019 pool.py:10(<module>)
       97    0.000    0.000    0.000    0.000 pyparsing.py:5688(<genexpr>)
        1    0.000    0.000    0.000    0.000 pyparsing.py:2819(__init__)
        9    0.000    0.000    0.000    0.000 fontconfig_pattern.py:132(_family)
       42    0.000    0.000    0.000    0.000 pyparsing.py:696(haskeys)
       35    0.000    0.000    0.000    0.000 __init__.py:190(_checkLevel)
        1    0.000    0.000    0.002    0.002 context.py:13(<module>)
        1    0.000    0.000    0.001    0.001 polar.py:1(<module>)
        1    0.000    0.000    0.003    0.003 gridspec.py:10(<module>)
        1    0.000    0.000    0.000    0.000 artist.py:57(Artist)
        5    0.000    0.000    0.000    0.000 six.py:91(__get__)
        1    0.000    0.000    0.002    0.002 dis.py:1(<module>)
        1    0.000    0.000    0.000    0.000 case.py:341(TestCase)
       18    0.000    0.000    0.000    0.000 core.py:998(__init__)
       14    0.000    0.000    0.000    0.000 __init__.py:139(_check_size)
        5    0.000    0.000    0.000    0.000 subprocess.py:1421(_try_wait)
        1    0.000    0.000    0.016    0.016 py3k.py:12(<module>)
        5    0.000    0.000    0.000    0.000 {method 'findall' of '_sre.SRE_Pattern' objects}
       16    0.000    0.000    0.001    0.000 {built-in method _functools.reduce}
        1    0.000    0.000    0.000    0.000 numpy_pickle_utils.py:1(<module>)
       53    0.000    0.000    0.000    0.000 six.py:177(_add_module)
        1    0.000    0.000    0.000    0.000 hermite_e.py:77(<module>)
       50    0.000    0.000    0.000    0.000 kmc_classes.py:22(set_particles)
       50    0.000    0.000    0.000    0.000 kmc_classes.py:116(write)
       19    0.000    0.000    0.000    0.000 functools.py:448(lru_cache)
       75    0.000    0.000    0.000    0.000 {built-in method builtins.vars}
        2    0.000    0.000    0.051    0.026 animation.py:720(bin_path)
      118    0.000    0.000    0.000    0.000 opcode.py:39(def_op)
        1    0.000    0.000    0.000    0.000 _polybase.py:8(<module>)
        1    0.000    0.000    0.018    0.018 __init__.py:10(<module>)
        8    0.000    0.000    0.000    0.000 warnings.py:143(simplefilter)
        1    0.000    0.000    0.000    0.000 quiver.py:437(Quiver)
       26    0.000    0.000    0.000    0.000 core.py:56(is_style_file)
        1    0.000    0.000    0.000    0.000 _iotools.py:450(StringConverter)
        1    0.000    0.000    0.000    0.000 utils.py:74(__call__)
       10    0.000    0.000    0.000    0.000 _collections_abc.py:664(__contains__)
        1    0.000    0.000    0.000    0.000 {method 'write' of '_io.FileIO' objects}
      134    0.000    0.000    0.000    0.000 six.py:88(__init__)
        1    0.000    0.000    0.000    0.000 deprecation.py:1(<module>)
       76    0.000    0.000    0.000    0.000 abc.py:9(abstractmethod)
        7    0.000    0.000    0.004    0.001 pyplot.py:654(close)
       48    0.000    0.000    0.000    0.000 pyparsing.py:4017(<genexpr>)
        5    0.000    0.000    0.000    0.000 subprocess.py:778(__del__)
        1    0.000    0.000    0.001    0.001 selectors.py:5(<module>)
        1    0.000    0.000    0.000    0.000 animation.py:170(AbstractMovieWriter)
        3    0.000    0.000    0.000    0.000 _common.py:132(_validate_fromutc_inputs)
        1    0.000    0.000    0.003    0.003 afm.py:38(<module>)
        1    0.000    0.000    0.004    0.004 decoder.py:2(<module>)
       46    0.000    0.000    0.000    0.000 six.py:105(__init__)
       11    0.000    0.000    0.000    0.000 rcsetup.py:263(validate_backend)
       19    0.000    0.000    0.000    0.000 __init__.py:1382(_to_unmasked_float_array)
       27    0.000    0.000    0.000    0.000 __init__.py:886(is_url)
        1    0.000    0.000    0.004    0.004 main.py:1(<module>)
       13    0.000    0.000    0.000    0.000 __init__.py:1544(isEnabledFor)
        1    0.000    0.000    0.000    0.000 pprint.py:35(<module>)
        6    0.000    0.000    0.000    0.000 _datasource.py:302(_isurl)
