         3006626 function calls (2810665 primitive calls) in 18.466 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      588    0.008    0.000    0.043    0.000 inspect.py:1089(getfullargspec)
       27    0.008    0.000    0.041    0.002 __init__.py:909(_rc_params_in_file)
     9219    0.008    0.000    0.008    0.000 {method 'keys' of 'dict' objects}
    18328    0.008    0.000    0.008    0.000 multiarray.py:311(where)
    18328    0.008    0.000    0.008    0.000 function_base.py:710(_copy_dispatcher)
       90    0.008    0.000    0.008    0.000 {built-in method io.open}
    18328    0.007    0.000    0.007    0.000 fromnumeric.py:2414(_cumsum_dispatcher)
      681    0.007    0.000    0.010    0.000 inspect.py:2732(__init__)
    18328    0.007    0.000    0.007    0.000 multiarray.py:234(inner)
     1906    0.007    0.000    0.007    0.000 {method 'format' of 'str' objects}
     1953    0.007    0.000    0.011    0.000 inspect.py:2452(__init__)
       12    0.007    0.001    0.075    0.006 artist.py:1277(_get_setters_and_targets)
      398    0.007    0.000    0.242    0.001 <frozen importlib._bootstrap>:870(_find_spec)
       28    0.007    0.000    0.007    0.000 {built-in method builtins.dir}
     3475    0.007    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
7595/7589    0.007    0.000    0.009    0.000 {method 'join' of 'str' objects}
     2161    0.007    0.000    0.104    0.000 re.py:286(_compile)
      327    0.007    0.000    0.599    0.002 <frozen importlib._bootstrap_external>:743(get_code)
    28648    0.006    0.000    0.006    0.000 {method 'lstrip' of 'str' objects}
4000/2000    0.006    0.000    0.009    0.000 npyio.py:1011(pack_items)
     2387    0.006    0.000    0.006    0.000 {built-in method __new__ of type object at 0x9d12c0}
    408/4    0.006    0.000   18.355    4.589 <frozen importlib._bootstrap>:966(_find_and_load)
      908    0.006    0.000    0.006    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
      765    0.006    0.000    0.009    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
        2    0.006    0.003    0.035    0.018 morphology.py:91(homo_lumo)
     4936    0.005    0.000    0.023    0.000 enum.py:267(__call__)
    19300    0.005    0.000    0.005    0.000 {method 'startswith' of 'str' objects}
     5000    0.005    0.000    0.005    0.000 sre_parse.py:232(__next)
      654    0.005    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:263(cache_from_source)
    382/4    0.005    0.000   18.354    4.589 <frozen importlib._bootstrap>:651(_load_unlocked)
     1792    0.005    0.000    0.047    0.000 __init__.py:775(__setitem__)
     3475    0.005    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
      765    0.005    0.000    0.005    0.000 <frozen importlib._bootstrap>:78(acquire)
      664    0.005    0.000    0.011    0.000 functools.py:44(update_wrapper)
      641    0.005    0.000    0.038    0.000 inspect.py:2183(_signature_from_callable)
     2247    0.005    0.000    0.077    0.000 inspect.py:595(getdoc)
      373    0.004    0.000    0.011    0.000 colors.py:185(_to_rgba_no_colorcycle)
      381    0.004    0.000    0.007    0.000 <frozen importlib._bootstrap>:318(__exit__)
     4917    0.004    0.000    0.005    0.000 enum.py:517(__new__)
      612    0.004    0.000    0.005    0.000 _inspect.py:65(getargs)
      765    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap>:103(release)
     2002    0.004    0.000    0.010    0.000 npyio.py:1028(split_line)
     1350    0.004    0.000    0.011    0.000 enum.py:803(__and__)
       50    0.004    0.000    0.009    0.000 kmc_classes.py:25(set_dipoles)
4002/2002    0.004    0.000    0.011    0.000 _internal.py:872(__call__)
    403/4    0.004    0.000   18.355    4.589 <frozen importlib._bootstrap>:936(_find_and_load_unlocked)
    34/29    0.004    0.000    0.017    0.001 {built-in method _imp.exec_dynamic}
  379/378    0.004    0.000    0.229    0.001 <frozen importlib._bootstrap_external>:1117(_get_spec)
     2503    0.004    0.000    0.004    0.000 {method 'expandtabs' of 'str' objects}
     3798    0.004    0.000    0.005    0.000 sre_parse.py:163(__getitem__)
      221    0.004    0.000    0.005    0.000 sre_compile.py:250(_optimize_charset)
        7    0.004    0.001    0.004    0.001 {built-in method gc.collect}
      408    0.004    0.000    0.062    0.000 artist.py:1241(get_valid_values)
    10760    0.003    0.000    0.006    0.000 mathtext.py:2839(<genexpr>)
     1354    0.003    0.000    0.011    0.000 {built-in method builtins.any}
     3707    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
     2000    0.003    0.000    0.014    0.000 npyio.py:1067(<listcomp>)
     7607    0.003    0.000    0.003    0.000 {method 'rstrip' of 'str' objects}
